BioProject ID,Run ID,Organ,Treatment,Experiment,Description
PRJNA725025,SRR14321721,Leaf,CU9_OverEx_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321720,Leaf,CU9_OverEx_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321719,Leaf,CU9_OverEx_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321718,Leaf,EU9_OverEx_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321717,Leaf,EU9_OverEx_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321716,Leaf,EU9_OverEx_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321715,Leaf,FU9_OverEx_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321714,Leaf,CZ6_Wild_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321712,Leaf,FU9_OverEx_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321713,Leaf,FU9_OverEx_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321711,Leaf,CZ6_Wild_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321710,Leaf,DZ6_Wild_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321709,Leaf,DZ6_Wild_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321708,Leaf,DZ6_Wild_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321707,Leaf,EZ6_Wild_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA721586,SRR14234025,Leaf,J9712_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234024,Leaf,J9712_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234021,Leaf,J9712_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234020,Leaf,J9712_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234019,Leaf,J9712_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234018,Leaf,J9712_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234017,Leaf,MIM159_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234016,Leaf,MIM159_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234015,Leaf,MIM159_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234014,Leaf,MIM159_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234023,Leaf,MIM159_Drought,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
PRJNA721586,SRR14234022,Leaf,MIM159_Control,Drought - Cultivar,The RNA-seq of MIM159 transgenic rapeseed and J9712 cultivars under drought stress
